VisitDate,VisitYear,VisitMonth,UserVisitCount,AttractionVisitCount,Rating,Country_Frequency,CityName_Frequency,VisitMode_Business,VisitMode_Couples,VisitMode_Family,VisitMode_Friends,VisitMode_Solo,Continent_Africa,Continent_America,Continent_Asia,Continent_Australia & Oceania,Continent_Europe,Region_Australia,Region_Caribbean,Region_Central Africa,Region_Central America,Region_Central Asia,Region_Central Europe,Region_East Africa,Region_East Asia,Region_Eastern Europe,Region_Middle East,Region_North Africa,Region_Northern America,Region_Northern Europe,Region_Oceania,Region_South America,Region_South Asia,Region_South East Asia,Region_Southern Africa,Region_Southern Europe,Region_Unknown,Region_West Africa,Region_Western Europe,AttractionType_Ancient Ruins,AttractionType_Ballets,AttractionType_Beaches,AttractionType_Caverns & Caves,AttractionType_Flea & Street Markets,AttractionType_Historic Sites,AttractionType_History Museums,AttractionType_National Parks,AttractionType_Nature & Wildlife Areas,AttractionType_Neighborhoods,AttractionType_Points of Interest & Landmarks,AttractionType_Religious Sites,AttractionType_Spas,AttractionType_Speciality Museums,AttractionType_Volcanos,AttractionType_Water Parks,AttractionType_Waterfalls,Attraction_Balekambang Beach,Attraction_Bromo Tengger Semeru National Park,Attraction_Coban Rondo Waterfall,Attraction_Goa Cina Beach,Attraction_Jodipan Colorful Village,Attraction_Jomblang Cave,Attraction_Kalibiru National Park,Attraction_Khayangan Reflexology & Massage,Attraction_Kuta Beach - Bali,Attraction_Malang City Square,Attraction_Malioboro Road,Attraction_Merapi Volcano,Attraction_Mount Semeru Volcano,Attraction_Museum Malang Tempo Doeloe,Attraction_Nusa Dua Beach,Attraction_Ramayana Ballet at Prambanan,Attraction_Ratu Boko Temple,Attraction_Sacred Monkey Forest Sanctuary,Attraction_Sanur Beach,Attraction_Seminyak Beach,Attraction_Sempu Island,Attraction_Sewu Temple,Attraction_Tanah Lot Temple,Attraction_Tegalalang Rice Terrace,Attraction_Tegenungan Waterfall,Attraction_Ullen Sentalu Museum,Attraction_Uluwatu Temple,Attraction_Water Castle (Tamansari),Attraction_Waterbom Bali,Attraction_Yogyakarta Palace
2022-10-01,2022,10,1,13198,5,0.12699792178348762,0.0007558293337364423,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,1,13198,5,0.028074815794445495,0.00020785306677752164,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,1,13198,5,0.002645002833931608,5.6687200030233176e-05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,2,13198,3,0.004893255242773474,0.0015116586674728846,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,3,13198,3,0.12699792178348762,0.0038547296020558556,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,2,13198,5,0.11828830530889854,0.003873625335399267,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,2,13198,4,0.00017003589646703192,7.558293337364423e-05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,2022,10,1,13198,5,0.12699792178348762,0.0014927629341294736,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,1,13198,3,0.011902512752692235,0.0007369336003930312,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,14,13198,5,0.11828830530889854,0.0009069952004837308,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,6,13198,5,0.12699792178348762,0.0002834360001511659,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,1,13198,5,0.2516909125259777,3.779146668682211e-05,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,4,13198,3,0.027942565652748913,0.0030233173349457692,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,2022,8,4,13198,4,0.12699792178348762,0.0013604928007255961,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2022,9,2,13198,4,0.2516909125259777,0.004799516269226409,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
